Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
98,547.0,0.0,3216.0,3216.0,24.0,3216.0,0.9980308000000648,0.0,0.0,0.0,,,,0.007835025270954551,0.01175862039944276,0.030874228104949,6.774175562895833e-05,0.0001,0.0,0.0001,0.0001,0.038346063,0.032729726,0.10015396,0.012245647,,,,
99,553.0,0.0,3240.0,3240.0,24.0,3240.0,0.9980092000000657,0.0,0.0,0.0,,,,0.002657358809907843,0.005558595928584608,0.01508601475507021,9.396355744684116e-05,0.0001,0.0,0.0001,0.0001,0.026356967000000002,0.014008301,0.05714742,0.016561063,,,,
100,557.0,0.0,3254.0,3254.0,14.0,3254.0,0.9979966000000658,0.0,0.0,0.0,,,,9.219388084602541e-05,3.149582599844557e-05,0.0001309667422901839,4.6453664253931486e-05,0.0001,0.0,0.0001,0.0001,0.014451126000000002,0.0027208772999999997,0.017871195,0.010645749,,,,
101,563.0,0.0,3278.0,3278.0,24.0,3278.0,0.9979750000000668,0.0,0.0,0.0,,,,0.012972167296235662,0.010607201918600444,0.030849698930978775,1.9902900021406825e-05,0.0001,0.0,0.0001,0.0001,0.049404513,0.030760022,0.09063612,0.007075939,,,,
102,569.0,0.0,3302.0,3302.0,24.0,3302.0,0.9979534000000674,0.0,0.0,0.0,,,,0.007741281129710842,0.007511462010544567,0.015609715133905409,0.00016489767585881054,0.0001,0.0,0.0001,0.0001,0.042484287,0.020079351999999998,0.06928008,0.01858876,,,,
103,586.0,0.0,3372.0,3372.0,70.0,3372.0,0.9978904000000696,1.0,1.0,0.0,,,,0.00722440674829105,0.010309364044013178,0.03008597902953625,0.00014526878658216447,0.0001,0.0,0.0001,0.0001,0.041153453,0.021602884,0.097647205,0.019578343,0.06323122,0.012042462,0.08099073,0.047047608
104,592.0,0.0,3396.0,3396.0,24.0,3396.0,0.9978688000000702,0.0,0.0,0.0,,,,0.010408200333282972,0.011187106995857529,0.03014640882611275,0.00021153612760826943,0.0001,0.0,0.0001,0.0001,0.04788938,0.024481,0.08525879,0.021006608,,,,
105,605.0,0.0,3448.0,3448.0,52.0,3448.0,0.9978220000000716,1.0,1.0,0.0,,,,0.007195641463532901,0.009567514348078314,0.030250325798988342,0.00012076071288902313,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,0.040861305,0.020735541,0.081159815,0.014530268999999998,,,,
106,611.0,0.0,3472.0,3472.0,24.0,3472.0,0.9978004000000724,0.0,0.0,0.0,,,,0.012716251763777107,0.010380598362839605,0.030509134754538536,9.473633690504356e-05,0.0001,0.0,0.0001,0.0001,0.057343934000000006,0.03823185,0.13567165,0.015302286000000002,,,,
107,617.0,0.0,3496.0,3496.0,24.0,3496.0,0.9977788000000732,0.0,0.0,0.0,,,,0.005235929881261352,0.006861590416579781,0.0150987533852458,0.00026969637838192284,0.0001,0.0,0.0001,0.0001,0.04053880000000001,0.009018604,0.056437217000000005,0.029943006,,,,
108,649.0,0.0,3625.0,3625.0,129.0,3625.0,0.9976627000000771,3.0,3.0,0.0,,,,0.0053666942648078475,0.009071457016146162,0.031320296227931976,4.3726948206312954e-05,0.0001,0.0,0.0001,0.0001,0.030084398,0.025098218,0.09888706,0.009067430999999999,,,,
109,655.0,0.0,3649.0,3649.0,24.0,3649.0,0.9976411000000776,0.0,0.0,0.0,,,,0.00929373309481889,0.00745362936856001,0.01552602369338274,0.00010544474935159089,0.0001,0.0,0.0001,0.0001,0.042202692,0.017244762,0.057416752,0.016462168,,,,
