Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
67,422.0,0.0,1466.0,1466.0,29.0,1466.0,0.9581230000000168,29.0,29.0,0.0,,,,0.7376711397165698,0.4887811972530094,1.9000324010849,0.028381204232573513,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,5.8206596,3.6262934000000002,13.15865,1.1059427,13.689783926993243,7.252413693439139,25.282790566840355,1.0,,,,
68,432.0,0.0,1476.0,1476.0,10.0,1476.0,0.9571330000000172,10.0,10.0,0.0,,,,0.6343820893930064,0.4776448791397233,1.269010066986084,0.021911989897489548,0.00025,0.0,0.00025,0.00025,4.506211,2.8579915000000002,9.504123,1.3541801000000002,5.338254258716446,2.7323939462696547,9.561792499119552,1.0,,,,
69,443.0,0.0,1487.0,1487.0,11.0,1487.0,0.9560440000000175,11.0,11.0,0.0,,,,0.7223480939865112,0.4689331011311074,1.6049035787582395,0.10589180886745453,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,3.7008064,0.93403935,5.2157817,2.2442043,5.804428832844801,2.993399215062785,10.466174574128354,1.0,,,,
70,465.0,0.0,1509.0,1509.0,22.0,1509.0,0.9538660000000184,22.0,22.0,0.0,,,,0.4990933418628715,0.41158561620392536,1.305844783782959,0.023093611001968384,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,3.2099995999999997,1.8066657,8.607031,0.7674873000000001,10.733765292570688,5.689469070729128,19.836941046095394,1.0,5.003864,0.06343312599999999,5.1037517,4.9488254000000005
71,506.0,0.0,1550.0,1550.0,41.0,1550.0,0.9498070000000202,41.0,41.0,0.0,,,,0.6555647294968366,0.4780732904801288,2.0568971633911133,0.03523282706737518,0.00025,0.0,0.00025,0.00025,4.78406,3.30745,14.844621,1.0424895,18.453468432718008,9.683558690949377,33.77179590160161,1.0,5.000962,0.30694938,5.244182599999999,4.436832
72,561.0,0.0,1605.0,1605.0,55.0,1605.0,0.9443620000000224,55.0,55.0,0.0,,,,0.8027076866753675,0.6084555714360278,2.342508316040039,0.0273842103779316,0.00025,0.0,0.00025,0.00025,5.038329,2.5445437,12.037089,0.9577252,23.563854995847173,12.16401073103312,42.46452500230711,1.0,5.994416,0.015283585,6.0097,5.9791327
73,570.0,0.0,1614.0,1614.0,9.0,1614.0,0.9434710000000228,9.0,9.0,1.0,,,,0.43087122961878777,0.3439733861366948,1.1689754724502563,0.04594721645116806,0.00025,0.0,0.00025,0.00025,2.8491743,1.2849963,5.5818644,1.0271344,4.868972232004988,2.4684556783231795,8.648275251635907,1.0,4.975058,0.40575427,5.477074,4.449884
74,611.0,0.0,1655.0,1655.0,41.0,1655.0,0.9394120000000244,41.0,41.0,0.0,,,,0.7334033390507102,0.5150656119457426,2.06156587600708,0.05022848397493362,0.00025,0.0,0.00025,0.00025,5.310292700000001,3.3695513999999998,15.474603,1.2175028,18.453468432718008,9.683558690949377,33.77179590160161,1.0,5.281706,0.3547768,5.7634397,4.785868
75,623.0,0.0,1667.0,1667.0,12.0,1667.0,0.9382240000000248,12.0,12.0,0.0,,,,0.6604943813925439,0.5469031393538738,1.791059494018555,0.035530202090740204,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,5.241574,3.2060169999999997,13.3711815,1.4877826,6.267519165806655,3.251571134644539,11.36151282838707,1.0,,,,
76,648.0,0.0,1692.0,1692.0,25.0,1692.0,0.9357490000000258,25.0,25.0,0.0,,,,0.8963402751833199,0.6436870244073936,2.49808931350708,0.08159869909286499,0.00025,0.0,0.00025,0.00025,5.423613,2.167289,9.398925,1.9620697,12.017258322062117,6.373078819321137,22.21786406008531,1.0,6.212475,0.3788695,6.756042,5.690793
77,665.0,0.0,1709.0,1709.0,17.0,1709.0,0.9340660000000264,17.0,17.0,0.0,,,,0.5800094339065254,0.4013337169832165,1.5364743471145632,0.054020494222640984,0.00025,0.0,0.00025,0.00025,3.9896462,1.5239856999999999,6.903336,1.3779616000000001,8.537506735345652,4.5021653169992994,15.705680661607307,1.0,6.1830050000000005,0.54968756,7.0400267,5.4498763
