Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min
44,0.0,1.0,885.0,44.0,16.0,885.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,6.967717707946685,3.8008870830134582,13.312815502519555,0.9515507059839929,,,,,,,,,,,,,,,,,,,,,,,,
45,0.0,1.0,914.0,45.0,29.0,914.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,10.434009180671133,6.049303423918069,20.945513552255886,0.6006936051260557,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0,1.0,945.0,46.0,31.0,945.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,18.05525033123377,8.811299893995416,31.0891964650628,1.4467132703878725,,,,,,,,,,,,,,,,,,,,,,,,
47,0.0,1.0,958.0,47.0,13.0,958.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,2.794596067277272,2.5325765887599454,7.442183056927856,-0.13272852828291926,,,,,,,,,,,,,,,,,,,,,,,,
48,0.0,1.0,988.0,48.0,30.0,988.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,8.745517054919679,6.330232425592732,19.410741853362502,0.15125937215365326,,,,,,,,,,,,,,,,,,,,,,,,
49,0.0,1.0,1004.0,49.0,16.0,1004.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,2.8872504698570878,2.983741161926972,8.63972413726921,-0.06283509346771016,,,,,,,,,,,,,,,,,,,,,,,,
50,0.0,1.0,1032.0,50.0,28.0,1032.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,12.95640128189872,7.28098786313432,24.16383511151173,0.7075141226866335,,,,,,,,,,,,,,,,,,,,,,,,
51,0.0,0.0,1044.0,51.0,12.0,1044.0,0.10000000000000002,10.802439736024386,10.802439736024386,0.0,,,,,,,,,,,,,,,,5.3838862146036135,3.027884536893127,10.258963020476717,0.7691791637531548,,,,,,,,,,,,,,,,,,,,,,,,
52,0.0,0.0,1053.0,52.0,9.0,1053.0,0.10000000000000002,5.680937614960668,5.680937614960668,0.0,,,,,,,,,,,,,,,,2.6427516750286184,1.7053003384010708,5.498070670917264,0.2951012392442059,,,,,,,,,,,,,,,,,,,,,,,,
53,0.0,0.0,1072.0,53.0,19.0,1072.0,0.10000000000000002,8.862110266627285,8.862110266627285,0.0,,,,,,,,,,,,,,,,2.7823105336517404,2.621149230001373,8.417647742660053,-0.0693520689812005,,,,,,,,,,,,,,,,,,,,,,,,
54,0.0,0.0,1087.0,54.0,15.0,1087.0,0.10000000000000002,11.662744481492616,11.662744481492616,0.0,,,,,,,,,,,,,,,,5.386903997094081,3.1095908393390825,10.964352405988386,0.7573781954453921,,,,,,,,,,,,,,,,,,,,,,,,
55,0.0,0.0,1098.0,55.0,11.0,1098.0,0.10000000000000002,5.034411827551752,5.034411827551752,0.0,,,,,,,,,,,,,,,,1.357319273557122,1.8836405109386831,4.93445121965704,-0.5668935289862963,,,,,,,,,,,,,,,,,,,,,,,,
56,0.0,0.0,1123.0,56.0,25.0,1123.0,0.10000000000000002,22.93815915581757,22.93815915581757,0.0,,,,,,,,,,,,,,,,11.181154622668156,5.732904997688335,20.34633383853589,1.0856191630443397,,,,,,,,,,,,,,,,,,,,,,,,
57,0.0,0.0,1142.0,57.0,19.0,1142.0,0.10000000000000002,18.05287542425346,18.05287542425346,0.0,,,,,,,,,,,,,,,,8.686082325830487,4.844142867508324,16.568201800349158,0.7897531391967347,,,,,,,,,,,,,,,,,,,,,,,,
58,0.0,0.0,1162.0,58.0,20.0,1162.0,0.10000000000000002,16.921512351165546,16.921512351165546,0.0,,,,,,,,,,,,,,,,8.2621114529429,4.416576617009729,15.423323293512087,0.5132987494286733,,,,,,,,,,,,,,,,,,,,,,,,
59,0.0,0.0,1182.0,59.0,20.0,1182.0,0.10000000000000002,13.239988000139356,13.239988000139356,0.0,,,,,,,,,,,,,,,,5.0739588921592205,4.015452655747656,12.348683052229802,-0.007890721842112541,,,,,,,,,,,,,,,,,,,,,,,,
60,0.0,0.0,1195.0,60.0,13.0,1195.0,0.10000000000000002,11.15948117382103,11.15948117382103,0.0,,,,,,,,,,,,,,,,5.201770303097574,3.1073919610778296,10.589142459008428,0.8090014201945404,,,,,,,,,,,,,,,,,,,,,,,,
61,0.0,0.0,1203.0,61.0,8.0,1203.0,0.10000000000000002,5.7783077072178575,5.7783077072178575,0.0,,,,,,,,,,,,,,,,2.8749783863106053,1.6682358825040688,5.604352965972736,0.5324840562844129,,,,,,,,,,,,,,,,,,,,,,,,
62,0.0,0.0,1217.0,62.0,14.0,1217.0,0.10000000000000002,13.048359121841726,13.048359121841726,0.0,,,,,,,,,,,,,,,,6.725510519212698,3.4502812796371525,12.229078433486814,0.9540012097814472,,,,,,,,,,,,,,,,,,,,,,,,
63,0.0,0.0,1253.0,63.0,36.0,1253.0,0.10000000000000002,22.94167022365911,22.94167022365911,0.0,,,,,,,,,,,,,,,,8.872163824353315,5.930339536303197,19.94716287564839,-0.0911301374173899,,,,,,,,,,,,,,,,,,,,,,,,
64,0.0,0.0,1299.0,64.0,46.0,1299.0,0.10000000000000002,46.71412797463463,46.71412797463463,0.0,,,,,,,,,,,,,,,,21.868800709197256,11.014830117568291,37.02472691757967,0.772765420792519,,,,,,,,,,,,,,,,,,,,,,,,
65,0.0,0.0,1309.0,65.0,10.0,1309.0,0.10000000000000002,5.622594947117271,5.622594947117271,0.0,,,,,,,,,,,,,,,,2.274295554515511,1.855998343006529,5.449662011783557,-0.06788489525672302,,,,,,,,,,,,,,,,,,,,,,,,
