Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
57,42.0,0.0,24.0,1.0,24.0,1548.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0008090907400000001,0.0,0.0008090907400000001,0.0008090907400000001,1.3850103999999999,2.2743878e-05,1.3850476999999999,1.3849546999999998,0.0007264470681548117,0.0008989043641562691,0.001875909045338631,-0.0008793501183390617,-0.012989858,0.0006116965000000001,-0.011881563999999999,-0.013950373,6.678772600000001e-07,0.0,6.678772600000001e-07,6.678772600000001e-07,0.0010238095,0.0,0.0010238095,0.0010238095
58,43.0,0.0,3.0,1.0,3.0,1551.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.3850632,6.1331992999999996e-06,1.3850706,1.3850555,,,,,,,,,,,,,,,,
59,45.0,0.0,24.0,1.0,24.0,1575.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0014443810999999998,0.0,0.0014443810999999998,0.0014443810999999998,1.3850136999999998,2.3706207e-05,1.3850524,1.3849461,0.0013007811270654202,0.001056141696662252,0.0034288642928004265,-0.00011641904711723328,-0.013786036000000002,0.0005766476999999999,-0.01297979,-0.015222887,1.4037333999999998e-06,0.0,1.4037333999999998e-06,1.4037333999999998e-06,0.0017843802,0.0,0.0017843802,0.0017843802
60,49.0,0.0,72.0,1.0,72.0,1647.0,0.0,2.0,2.0,0.0,,,,,,,,,,,,0.39982772,0.2825958,0.60119915,0.00018087642,1.3850045,2.707525e-05,1.3850617,1.3849421999999998,0.36406304852959387,0.4621279998544177,1.001617670059204,-0.004035651683807373,-0.0006045526,0.009698412,0.015222017,-0.013914457,0.17305207,0.122661985,0.27000440000000003,1.2373547999999998e-07,0.50446576,0.35773778,0.7879337,-0.00017164958
61,51.0,0.0,24.0,1.0,24.0,1671.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0040651870000000005,0.0,0.0040651870000000005,0.0040651870000000005,1.3849486999999998,2.7868226e-05,1.3849992,1.3848811,-0.003839875385165215,0.0016137949027865668,-0.0008947700262069703,-0.007307186722755431,0.043387838,0.0012425182,0.045361985,0.041535065,8.674489999999999e-06,0.0,8.674489999999999e-06,8.674489999999999e-06,-0.0053910473,0.0,-0.0053910473,-0.0053910473
62,53.0,0.0,24.0,1.0,24.0,1695.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.008396997,0.0,0.008396997,0.008396997,1.3847656000000002,3.972183e-05,1.3848263,1.3846526000000001,-0.007436121627688408,0.004444677093240586,1.329183578491211e-05,-0.014552406966686247,0.06819602,0.0012042613,0.07068916,0.06591939,3.752553e-05,0.0,3.752553e-05,3.752553e-05,-0.010383099,0.0,-0.010383099,-0.010383099
63,55.0,0.0,24.0,1.0,24.0,1719.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.009886759,0.0,0.009886759,0.009886759,1.3846209999999999,3.853493e-05,1.3846798,1.3845377,-0.008100989833474159,0.004065496089691599,-0.0009943544864654539,-0.014445543289184569,0.08381899400000001,0.0005433847,0.084659085,0.08260647,4.1077146e-05,0.0,4.1077146e-05,4.1077146e-05,-0.011180108999999999,0.0,-0.011180108999999999,-0.011180108999999999
64,57.0,0.0,24.0,1.0,24.0,1743.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.010703002,0.0,0.010703002,0.010703002,1.3843161,6.341392e-05,1.3843899,1.3841543,-0.009067048132419587,0.004772038190270417,-0.0010494813323020935,-0.016790278255939484,0.09134021,0.00045821452000000006,0.0924202,0.09047273,5.2491864999999996e-05,0.0,5.2491864999999996e-05,5.2491864999999996e-05,-0.012549393,0.0,-0.012549393,-0.012549393
65,59.0,0.0,24.0,1.0,24.0,1767.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.010728703999999999,0.0,0.010728703999999999,0.010728703999999999,1.3839143999999999,7.825876000000001e-05,1.3840052999999999,1.383717,-0.009357149526476859,0.004940670433945601,-0.0010491162538528442,-0.017088472843170166,0.09415414,0.0005131044,0.09537537,0.09324925,5.5983240000000006e-05,0.0,5.5983240000000006e-05,5.5983240000000006e-05,-0.013028142,0.0,-0.013028142,-0.013028142
66,61.0,0.0,24.0,1.0,24.0,1791.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.010580648,0.0,0.010580648,0.010580648,1.3834554,7.2202005e-05,1.3835496,1.3832875,-0.009013761952519416,0.004757571909335332,-0.001005999743938446,-0.016015879809856415,0.08981918,0.0005582751,0.0918127,0.08919081,5.1941202e-05,0.0,5.1941202e-05,5.1941202e-05,-0.012618111000000001,0.0,-0.012618111000000001,-0.012618111000000001
