Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
51,1200.0,0.0,12546.0,51.0,50.0,2550.0,0.1,-6.0,-6.0,1.0,,,,,,,,,,,,,,,,-0.4413560206182143,1.22486544327396,0.0,-5.67208569324672,,,,,,,,,,,,,,,,,,,,,-0.3582964,0.49925193,-0.13474733,-2.1038487,,,,,0.01361568024512759,0.5492242092046267,1.3638166149060136,-1.0895722011542837
52,1240.0,0.0,12792.0,52.0,50.0,2600.0,0.1,-7.0,-7.0,1.0,,,,,,,,,,,,,,,,-1.9445760766829292,1.823542086339468,0.0,-5.1585958401194585,,,,,,,,,,,,,,,,,,,,,-0.25346255,0.39611757,-0.013776538999999999,-1.5782188,,,,,0.1042656680397009,0.5622373475781469,1.2557678368917582,-1.0274803109318016
53,1280.0,0.0,13038.0,53.0,50.0,2650.0,0.1,-4.0,-4.0,1.0,,,,,,,,,,,,,,,,-0.19603984,0.7309107698085001,0.0,-3.881592,,,,,,,,,,,,,,,,,,,,,-0.5511989,0.4817514,-0.33403534,-2.2890308,,,,,-0.05179260513264967,0.5274937852076461,1.2966663032584942,-1.1911911109087212
54,1320.0,0.0,13284.0,54.0,50.0,2700.0,0.1,-12.0,-12.0,1.0,,,,,,,,,,,,,,,,-3.2841338168365084,2.5434667530700388,0.0,-8.893741003228051,,,,,,,,,,,,,,,,,,,,,-0.38795844,0.38600975,-0.1401177,-1.5012181999999998,,,,,-0.0657548791963404,0.5556646378753387,1.200486213726495,-1.323723525961504
55,1360.0,0.0,13530.0,55.0,50.0,2750.0,0.1,-6.0,-6.0,0.0,,,,,,,,,,,,,,,,-1.82095350224769,0.6681973107392599,-0.8858423808639998,-4.264333160971741,,,,,,,,,,,,,,,,,,,,,-0.36317986,0.37763038,-0.14761299,-1.6068935,,,,,0.16556027938106624,0.5386313390054074,1.351788680376336,-1.0557724495912804
56,1400.0,0.0,13776.0,56.0,50.0,2800.0,0.1,-10.0,-10.0,1.0,,,,,,,,,,,,,,,,-2.798041958485352,2.2129931436437453,0.0,-7.348936777055762,,,,,,,,,,,,,,,,,,,,,-0.3798704,0.48804945,-0.09249535,-1.7646163000000001,,,,,-0.036899201049309945,0.496302868641771,1.4010642750867108,-1.3372658223895697
57,1440.0,0.0,14022.0,57.0,50.0,2850.0,0.1,-7.0,-7.0,1.0,,,,,,,,,,,,,,,,-0.8502169963766113,1.4013819926630695,0.0,-6.275288779207539,,,,,,,,,,,,,,,,,,,,,-0.3695555,0.51175153,-0.09631723,-1.9972911,,,,,0.019944675657008498,0.5475900192477737,1.5664029860776332,-1.166356206247091
58,1480.0,0.0,14268.0,58.0,50.0,2900.0,0.1,-8.0,-8.0,1.0,,,,,,,,,,,,,,,,-1.8245643512250107,1.7088999490005488,0.0,-6.30146494772958,,,,,,,,,,,,,,,,,,,,,-0.34414306,0.4539018,-0.09830536,-2.092004,,,,,0.004724134136962928,0.4676436912145343,1.179046224118562,-1.1936323123146129
59,1520.0,0.0,14514.0,59.0,50.0,2950.0,0.1,-8.0,-8.0,1.0,,,,,,,,,,,,,,,,-1.738098307067399,1.3092092628533532,0.0,-6.389695605033264,,,,,,,,,,,,,,,,,,,,,-0.45172584,0.52385336,-0.13989753,-2.193875,,,,,-0.09628403561380763,0.6666705505875313,1.242895077335204,-1.4445549074092303
60,1560.0,0.0,14760.0,60.0,50.0,3000.0,0.1,-3.0,-3.0,0.0,,,,,,,,,,,,,,,,-0.8968140011884733,0.5064834463006671,0.0,-2.146108162052577,,,,,,,,,,,,,,,,,,,,,-0.2021703,0.17574215,-0.09240216,-0.8275068999999999,,,,,0.02083638612365156,0.4480253593895734,0.9965365949028968,-1.2052507889974915
