Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min
60,343.0,0.0,1387.0,60.0,43.0,1387.0,0.4438133333333281,43.0,43.0,0.0,,,,163.51902807326545,22.510460367934094,235.01145935058597,125.7556610107422,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,159.09685,47.885742,306.78925,61.879234,22.0,12.409673645990855,43.0,1.0
61,407.0,0.0,1451.0,61.0,64.0,1451.0,0.43335999999999375,64.0,64.0,0.0,,,,144.43699658106243,22.76422766762259,203.59591674804688,84.50135803222656,0.00010000000000000003,4.0657581468206416e-20,0.0001,0.0001,134.76369,58.474194,317.46835,48.81948,32.5,18.472953201911167,64.0,1.0
62,455.0,0.0,1499.0,62.0,48.0,1499.0,0.425519999999993,48.0,48.0,0.0,,,,133.09018057965218,18.373650166911432,188.7983703613281,103.80589294433594,0.00010000000000000003,4.0657581468206416e-20,0.0001,0.0001,129.67123,59.317837,293.1229,44.882896,24.5,13.853399101544234,48.0,1.0
63,555.0,0.0,1599.0,63.0,100.0,1599.0,0.40918666666665815,100.0,100.0,0.0,,,,124.76726023356122,13.871817291932672,156.26092529296875,96.5006103515625,0.0001,0.0,0.0001,0.0001,130.95705,70.991646,474.918,33.09032,50.5,28.866070047722122,100.0,1.0
64,590.0,0.0,1634.0,64.0,35.0,1634.0,0.40346999999999095,35.0,35.0,0.0,,,,137.7478740916533,12.557078087881624,164.38880920410156,110.21710205078124,0.0001,1.3552527156068802e-20,0.0001,0.0001,202.22271999999998,118.25226599999999,600.81696,76.453835,18.0,10.099504938362076,35.0,1.0
65,644.0,0.0,1688.0,65.0,54.0,1688.0,0.3946499999999901,54.0,54.0,0.0,,,,130.76917655512972,16.332196266613835,174.2021026611328,85.73223876953125,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,160.96371000000002,70.34692,346.711,59.084152,27.5,15.58578412100805,54.0,1.0
66,666.0,0.0,1710.0,66.0,22.0,1710.0,0.3910566666666565,22.0,22.0,0.0,,,,130.06697518484933,16.835769608658627,153.65420532226562,88.73263549804688,0.0001,1.3552527156068802e-20,0.0001,0.0001,194.11667,108.20933000000001,428.5584,61.011665,11.5,6.344288770224759,22.0,1.0
67,750.0,0.0,1794.0,67.0,84.0,1794.0,0.3773366666666552,84.0,84.0,0.0,,,,120.84945127188442,15.402095532561662,161.34213256835938,88.87387084960938,0.0001,0.0,0.0001,0.0001,158.50023000000002,74.124084,402.99352999999996,55.325462,42.5,24.24699294070641,84.0,1.0
68,769.0,0.0,1813.0,68.0,19.0,1813.0,0.3742333333333216,19.0,19.0,0.0,,,,120.19912083943683,14.802231466301821,160.06568908691406,101.63059997558594,0.0001,0.0,0.0001,0.0001,213.26764,108.20376,450.12012000000004,58.254337,10.0,5.47722557505166,19.0,1.0
69,812.0,0.0,1856.0,69.0,43.0,1856.0,0.3672099999999876,43.0,43.0,0.0,,,,120.85415867396765,15.722313669652443,162.96644592285156,86.98880767822266,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,189.08893999999998,94.44967,564.3548,63.208214,22.0,12.409673645990855,43.0,1.0
70,857.0,0.0,1901.0,70.0,45.0,1901.0,0.3598599999999869,45.0,45.0,0.0,,,,117.0891903963956,11.805091182503814,146.6053924560547,89.86599731445312,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,183.10878,94.93372,558.2658,64.00950999999999,23.0,12.987173159185435,45.0,1.0
71,929.0,0.0,1973.0,71.0,72.0,1973.0,0.3480999999999857,72.0,72.0,0.0,,,,113.26870630828428,13.533694557047651,151.99679565429688,84.95748138427734,0.00010000000000000003,4.0657581468206416e-20,0.0001,0.0001,222.21861,138.29082,807.1231,56.761590000000005,36.5,20.7826049057058,72.0,1.0
72,985.0,0.0,2029.0,72.0,56.0,2029.0,0.33895333333331823,56.0,56.0,0.0,,,,107.23165602250532,11.122323651386306,137.35971069335938,85.50173950195312,0.00010000000000000003,4.0657581468206416e-20,0.0001,0.0001,182.77032,98.62314599999999,511.68557999999996,52.96046,28.5,16.163229875244614,56.0,1.0
73,1067.0,0.0,2111.0,73.0,82.0,2111.0,0.32555999999998364,82.0,82.0,0.0,,,,103.26426338855131,12.536398097780307,134.55410766601562,74.54000854492188,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,188.69533,98.65369,522.86005,47.141059999999996,41.5,23.66960075708925,82.0,1.0
74,1143.0,0.0,2187.0,74.0,76.0,2187.0,0.31314666666664914,76.0,76.0,0.0,,,,99.3813180541992,12.334200918963068,130.73785400390622,71.87345123291016,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,214.20847,125.45486000000001,729.4404,75.08049,38.5,21.937410968480307,76.0,1.0
75,1233.0,0.0,2277.0,75.0,90.0,2277.0,0.29844666666664776,90.0,90.0,0.0,,,,97.56103549914414,11.493640752422746,125.56355285644531,68.01117706298828,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,237.51352999999997,143.32588,683.79584,62.10159300000001,45.5,25.97915831328388,90.0,1.0
76,1301.0,0.0,2345.0,76.0,68.0,2345.0,0.2873399999999801,68.0,68.0,0.0,,,,96.55216854721752,12.333238885697329,122.42426300048828,74.13575744628906,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,225.27557000000002,130.66066,697.8506,55.720259999999996,34.5,19.627786426390518,68.0,1.0
77,1354.0,0.0,2398.0,77.0,53.0,2398.0,0.2786833333333126,53.0,53.0,0.0,,,,93.19428986769456,11.374045064530511,123.28512573242188,72.33614349365234,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,242.23812999999998,128.64389,724.3489400000001,71.57339,27.0,15.297058540778355,53.0,1.0
78,1450.0,0.0,2494.0,78.0,96.0,2494.0,0.2630033333333111,96.0,96.0,0.0,,,,94.54155859696236,12.22386340373412,132.46328735351562,64.05296325683594,9.999999999999998e-05,2.7105054312137605e-20,0.0001,0.0001,229.59357000000003,116.26912,524.73663,68.48151999999999,48.5,27.711309363988317,96.0,1.0
79,1564.0,0.0,2608.0,79.0,114.0,2608.0,0.24438333333331036,114.0,114.0,0.0,,,,98.7821798408981,13.299704144025686,138.10202026367188,71.97743225097656,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,263.4889,165.76608000000002,990.90356,69.59476,57.5,32.90769920044041,114.0,1.0
80,1616.0,0.0,2660.0,80.0,52.0,2660.0,0.23588999999997765,52.0,52.0,0.0,,,,106.063590853822,15.480278821895444,179.66897583007812,80.27407836914062,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,282.8762,171.89545,1012.3336,74.380394,26.5,15.008331019803634,52.0,1.0
81,1711.0,0.0,2755.0,81.0,95.0,2755.0,0.22037333333331216,95.0,95.0,0.0,,,,97.64889428970663,14.53924927716348,135.861328125,66.98944854736328,0.0001,1.3552527156068802e-20,0.0001,0.0001,324.68695,180.13075,948.7823,68.16033,48.0,27.422618401604176,95.0,1.0
82,1770.0,0.0,2814.0,82.0,59.0,2814.0,0.21073666666664626,59.0,59.0,0.0,,,,97.74796584556843,15.352320452880619,149.26646423339844,72.10464477539062,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,262.48523,128.63348,598.5499,67.93283000000001,30.0,17.029386365926403,59.0,1.0
83,1824.0,0.0,2868.0,83.0,54.0,2868.0,0.2019166666666469,54.0,54.0,0.0,,,,95.8980423549436,13.827487003752587,137.93618774414062,63.954933166503906,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,291.0433,163.44714,729.9675,79.01725,27.5,15.58578412100805,54.0,1.0
84,1888.0,0.0,2932.0,84.0,64.0,2932.0,0.1914633333333144,64.0,64.0,0.0,,,,98.4061710418217,12.637353568165548,129.08009338378906,67.87992858886719,0.00010000000000000003,4.0657581468206416e-20,0.0001,0.0001,274.78107,145.78583999999998,837.53107,57.185772,32.5,18.472953201911167,64.0,1.0
85,1966.0,0.0,3010.0,85.0,78.0,3010.0,0.17872333333331533,78.0,78.0,0.0,,,,93.31143941507709,12.501591980700741,124.92029571533205,65.30774688720703,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,274.0966,162.09951999999998,757.7654,56.89476,39.5,22.51480994071828,78.0,1.0
86,2022.0,0.0,3066.0,86.0,56.0,3066.0,0.16957666666664936,56.0,56.0,0.0,,,,92.61688190806996,13.533307995603433,124.5238037109375,67.36907958984375,0.00010000000000000003,4.0657581468206416e-20,0.0001,0.0001,289.41592,163.64091000000002,767.8527,70.53418,28.5,16.163229875244614,56.0,1.0
87,2160.0,0.0,3204.0,87.0,138.0,3204.0,0.14703666666665108,138.0,138.0,0.0,,,,90.35518618395729,15.036342170944305,147.43650817871094,57.59099197387695,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,268.25885,156.02489,825.6730299999999,73.39034000000001,69.5,39.83612263595275,138.0,1.0
88,2289.0,0.0,3333.0,88.0,129.0,3333.0,0.12596666666665268,129.0,129.0,0.0,,,,91.91273099184036,12.082211073601007,135.11155700683594,69.02558898925781,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,303.12866,167.88545,846.3297,89.19154,65.0,37.237973450050504,129.0,1.0
89,2432.0,0.0,3476.0,89.0,143.0,3476.0,0.10260999999998588,143.0,143.0,0.0,,,,88.50525165611589,10.924180681350093,129.38368225097656,67.71315002441406,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,354.994,208.40332,1098.2539,68.59494000000001,72.0,41.279534881100595,143.0,1.0
90,2503.0,0.0,3547.0,90.0,71.0,3547.0,0.09101333333331912,71.0,71.0,0.0,,,,88.86654434204101,12.877728694999318,118.63265991210938,65.50838470458984,0.00010000000000000003,4.0657581468206416e-20,0.0001,0.0001,309.8543,156.75737,775.0826400000001,86.1484,36.0,20.4939015319192,71.0,1.0
91,2641.0,0.0,3685.0,91.0,138.0,3685.0,0.06847333333331891,138.0,138.0,0.0,,,,84.24420792516999,10.993192855667195,115.5721435546875,53.28893280029297,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,413.13477,269.53836,1502.7297,89.74445,69.5,39.83612263595275,138.0,1.0
92,2798.0,0.0,3842.0,92.0,157.0,3842.0,0.04282999999998535,157.0,157.0,0.0,,,,80.74314423096486,11.49510970850357,120.73077392578124,52.30781936645508,0.0001,0.0,0.0001,0.0001,368.4596,202.18214,1028.111,85.98606,79.0,45.32107677449864,157.0,1.0
93,2962.0,0.0,4006.0,93.0,164.0,4006.0,0.01604333333331845,164.0,164.0,0.0,,,,76.91313063732686,11.56062724619033,105.82763671875,46.44697952270508,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,364.20935,200.8443,1072.6052,73.45344,82.5,47.341841958250846,164.0,1.0
94,3149.0,0.0,4193.0,94.0,187.0,4193.0,0.01,187.0,187.0,0.0,,,,71.60327827289541,11.251094327834814,105.4495086669922,45.5828857421875,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,405.01605,235.39854,1251.781,65.64667,94.0,53.98147830506311,187.0,1.0
95,3349.0,0.0,4393.0,95.0,200.0,4393.0,0.01,200.0,200.0,0.0,,,,70.00863522860273,10.01009361008042,101.26861572265624,45.48971939086914,0.0001,0.0,0.0001,0.0001,395.9492,244.01007,1474.6259,63.064068000000006,100.5,57.734305226615476,200.0,1.0
96,3549.0,0.0,4593.0,96.0,200.0,4593.0,0.01,200.0,200.0,0.0,,,,67.1773460234829,10.740344373864325,104.15412139892578,41.76801681518555,0.0001,0.0,0.0001,0.0001,501.63199999999995,329.855,1650.264,90.95947,100.5,57.734305226615476,200.0,1.0
97,3749.0,0.0,4793.0,97.0,200.0,4793.0,0.01,200.0,200.0,0.0,,,,63.612583313755046,9.867598215544453,94.04830932617188,39.01475524902344,0.0001,0.0,0.0001,0.0001,567.5706,338.57802999999996,2136.1692,104.04247,100.5,57.734305226615476,200.0,1.0
98,3949.0,0.0,4993.0,98.0,200.0,4993.0,0.01,200.0,200.0,0.0,,,,63.7242375857866,11.61014555007692,105.6927490234375,37.8966064453125,0.0001,0.0,0.0001,0.0001,576.9994,365.45257999999995,2440.6064,103.85563,100.5,57.734305226615476,200.0,1.0
99,4149.0,0.0,5193.0,99.0,200.0,5193.0,0.01,200.0,200.0,0.0,,,,62.095248850146724,11.736180540773747,105.53053283691406,37.23907852172852,0.0001,0.0,0.0001,0.0001,601.8965,387.96036000000004,2473.9602,70.07983,100.5,57.734305226615476,200.0,1.0
100,4349.0,0.0,5393.0,100.0,200.0,5393.0,0.01,200.0,200.0,0.0,,,,60.58429516739582,10.661333185804352,95.1178741455078,37.127037048339844,0.0001,0.0,0.0001,0.0001,604.06354,375.4393,2119.9595,117.043015,100.5,57.734305226615476,200.0,1.0
