Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
47,1040.0,0.0,11562.0,47.0,50.0,2350.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0997261999999999,0.13790886,-0.88532746,-1.3162924999999999,,,,,-0.10651769054155986,0.7467990916818971,1.3751687413337867,-1.2916148280605215
48,1080.0,0.0,11808.0,48.0,50.0,2400.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9568421000000003,0.031073198,-1.8812268,-2.0352851999999997,,,,,0.02392523589586509,0.8791199768742908,1.5540368983189357,-1.4150253806918207
49,1120.0,0.0,12054.0,49.0,50.0,2450.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4240968,0.0695922,-1.3224534,-1.6216253999999999,,,,,-0.16687028049044322,0.7747990127951201,1.2533364593219234,-1.3332732117039794
50,1160.0,0.0,12300.0,50.0,50.0,2500.0,0.1,-50.0,-50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4511855,0.061609317000000004,-1.3876598,-1.6153374,,,,,0.4568101533446669,0.6564039140440732,1.4522356818687945,-1.3766052101729644
51,1200.0,0.0,12546.0,51.0,50.0,2550.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2596988999999996,0.21262656,-1.7902919999999998,-2.4497173,,,,,0.3229970872066022,0.8698573675787671,1.5756605624822606,-1.5719706032018492
52,1240.0,0.0,12792.0,52.0,50.0,2600.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.4791634,0.63583505,-1.8924183,-3.991961,,,,,-0.21487802485225654,0.7654750985244828,1.2148287999055831,-1.4314497739134042
53,1280.0,0.0,13038.0,53.0,50.0,2650.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.887733,0.02124146,-1.8334663,-1.9262952000000002,,,,,0.21953338126200905,0.7500121555234551,1.5712411644872346,-1.2143796661660864
54,1320.0,0.0,13284.0,54.0,50.0,2700.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8398918999999998,0.15510646,-1.6592069999999999,-2.1804787999999995,,,,,-0.3064700078343071,0.7294935731140658,1.5306664199048594,-1.3552070396446425
55,1360.0,0.0,13530.0,55.0,50.0,2750.0,0.1,-50.0,-50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4141246,0.03262754,-1.2785368000000001,-1.4913266,,,,,0.08377688391211034,0.7408287105325363,1.2601677357389125,-1.2046826144243492
56,1400.0,0.0,13776.0,56.0,50.0,2800.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6504029999999998,0.07072988,-1.5547342,-1.8263569,,,,,-0.04990008420463772,0.7079622603411089,1.322484301451692,-1.5006165730557879
