Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Returns Mean/Mean,Returns Mean/Stdev,Returns Mean/Max,Returns Mean/Min,Returns Variance/Mean,Returns Variance/Stdev,Returns Variance/Max,Returns Variance/Min
64,15.0,0.0,20.0,1.0,20.0,1342.0,0.0,0.10000000000000002,20.0,0.0,,,,,,,,,,,,,,,,0.049319670553146414,0.02610938697149644,0.09104653120138456,0.005,0.6927061999999999,0.0005380708,0.69314134,0.69109535,,,,,,,,
65,16.0,0.0,26.0,1.0,26.0,1368.0,0.0,0.13000000000000006,26.0,0.0,,,,,,,,,,,,,,,,0.062197527590584126,0.032981544845425315,0.11497842709742236,0.005,0.69275564,0.00047925932,0.69313496,0.69144404,,,,,,,,
66,17.0,0.0,40.0,1.0,40.0,1408.0,0.0,0.2000000000000001,40.0,0.0,,,,,,,,,,,,,,,,0.09035255122997962,0.04746120936096432,0.1655141207151597,0.005,0.6925836999999999,0.0010380263,0.69314694,0.68780756,,,,,,,,
67,18.0,0.0,10.0,1.0,10.0,1418.0,0.0,0.05,10.0,0.0,,,,,,,,,,,,,,,,0.02669127129358223,0.013661969731348278,0.04780896249559776,0.005,0.6592289000000001,0.032413423,0.6931397,0.59611136,,,,,,,,
68,19.0,0.0,34.0,1.0,34.0,1452.0,0.0,0.17000000000000007,34.0,0.0,,,,,,,,,,,,,,,,0.07859955146995502,0.041509921651436785,0.1447233863638538,0.005,0.6811431,0.018842822,0.69314355,0.6105069000000001,,,,,,,,
69,20.0,0.0,25.0,1.0,25.0,1477.0,0.0,0.12500000000000006,25.0,0.0,,,,,,,,,,,,,,,,0.060086291610310615,0.031865394096605694,0.1110893203004266,0.005,0.68477666,0.009156145,0.6931427,0.66456187,,,,,,,,
70,21.0,0.0,31.0,1.0,31.0,1508.0,0.0,0.15500000000000005,31.0,0.0,,,,,,,,,,,,,,,,0.07254892896428006,0.03839361485936839,0.13384831517280116,0.005,0.6929291,0.00025526343999999996,0.6931467,0.69198906,,,,,,,,
71,22.0,0.0,22.0,1.0,22.0,1530.0,0.0,0.11000000000000004,22.0,0.0,,,,,,,,,,,,,,,,0.05366882646285343,0.02844734535364565,0.09918470523047698,0.005,0.6836903,0.01563116,0.69314694,0.63314366,,,,,,,,
72,23.0,0.0,11.0,1.0,11.0,1541.0,0.0,0.054999999999999986,11.0,0.0,,,,,,,,,,,,,,,,0.029022144164224006,0.014966996075313928,0.052330872870641774,0.005,0.67977804,0.011456543999999999,0.6931468000000001,0.6530304,,,,,,,,
73,24.0,0.0,13.0,1.0,13.0,1554.0,0.0,0.06499999999999999,13.0,0.0,,,,,,,,,,,,,,,,0.033637741419147334,0.017534929825633462,0.06123948850051601,0.005,0.6927095999999999,0.00031543765,0.69314665,0.6920978,,,,,,,,
74,25.0,0.0,18.0,1.0,18.0,1572.0,0.0,0.09000000000000001,18.0,0.0,,,,,,,,,,,,,,,,0.04491284398774094,0.023722760004486008,0.0827431192749562,0.005,0.6770294,0.025197666,0.6931469,0.6098653,,,,,,,,
75,26.0,0.0,9.0,1.0,9.0,1581.0,0.0,0.045,9.0,0.0,,,,,,,,,,,,,,,,0.024344861160024947,0.0123422783916159,0.04324137625817955,0.005,0.69253725,0.0006297408999999999,0.693146,0.69118017,,,,,,,,
76,27.0,0.0,15.0,1.0,15.0,1596.0,0.0,0.075,15.0,0.0,,,,,,,,,,,,,,,,0.03819257031625213,0.02004889587224851,0.06997082267935574,0.005,0.692534,0.00051947864,0.69314677,0.69129896,,,,,,,,
77,28.0,0.0,26.0,1.0,26.0,1622.0,0.0,0.13000000000000006,26.0,0.0,,,,,,,,,,,,,,,,0.062197527590584126,0.032981544845425315,0.11497842709742236,0.005,0.6892526,0.0051924516,0.69314677,0.67396253,,,,,,,,
78,29.0,0.0,13.0,1.0,13.0,1635.0,0.0,0.06499999999999999,13.0,0.0,,,,,,,,,,,,,,,,0.033637741419147334,0.017534929825633462,0.06123948850051601,0.005,0.679782,0.015738245,0.69314635,0.64180434,,,,,,,,
79,30.0,0.0,105.0,1.0,105.0,1740.0,0.0,0.5250000000000004,105.0,0.0,,,,,,,,,,,,,,,,0.1926724682607228,0.09276764255782904,0.3259534427537789,0.005,0.69001865,0.0057777246,0.69314694,0.66200995,,,,,,,,
80,31.0,0.0,18.0,1.0,18.0,1758.0,0.0,0.09000000000000001,18.0,0.0,,,,,,,,,,,,,,,,0.04491284398774094,0.023722760004486008,0.0827431192749562,0.005,0.6860669,0.007711801,0.6931427,0.67147315,,,,,,,,
81,32.0,0.0,20.0,1.0,20.0,1778.0,0.0,0.10000000000000002,20.0,0.0,,,,,,,,,,,,,,,,0.049319670553146414,0.02610938697149644,0.09104653120138456,0.005,0.69252264,0.00053416996,0.6931299,0.69111717,,,,,,,,
