Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
58,1480.0,0.0,14268.0,58.0,50.0,2900.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9036593,0.5457068,-2.8178964,-4.3683190000000005,,,,,-0.013551053832666806,0.8815121939142894,1.5236677276503174,-1.3934567770771116
59,1520.0,0.0,14514.0,59.0,50.0,2950.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9932448,0.11603615,-1.8632039,-2.361592,,,,,-0.02186846038983275,0.893047047487809,1.3785925978111535,-1.4446393671908773
60,1560.0,0.0,14760.0,60.0,50.0,3000.0,0.1,-50.0,-50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5347237999999996,0.14956229999999998,-2.3432894,-2.8363056,,,,,-0.1413745822296684,0.8472182144424231,1.2619575994835628,-1.3309889105629802
61,1600.0,0.0,15006.0,61.0,50.0,3050.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.86487967,0.43055362,-0.21116257,-1.5321056999999998,,,,,-0.2499840422256534,0.8323551861880228,1.68578204944464,-1.4681174722316626
62,1640.0,0.0,15252.0,62.0,50.0,3100.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9425224,0.06524248,-0.82160693,-1.0833507,,,,,0.08935051653659043,0.7110976147445905,1.4396438036395105,-1.3732166464039686
63,1680.0,0.0,15498.0,63.0,50.0,3150.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3012192000000002,0.12188484,-2.074063,-2.5670826,,,,,0.11391655683481053,0.7816962614255605,1.235536792444812,-1.294747609760952
64,1720.0,0.0,15744.0,64.0,50.0,3200.0,0.1,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23872872,0.03480451,-0.16150692,-0.32103357,,,,,0.5639507347011664,0.5340569513560315,1.4214374123616256,-0.8998928134546351
65,1760.0,0.0,15990.0,65.0,50.0,3250.0,0.1,-50.0,-50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0470168999999996,0.08402634,-1.8634418000000001,-2.211262,,,,,-0.14546106027604988,0.7713676750215516,1.5033727228034541,-1.3175360074000444
66,1800.0,0.0,16236.0,66.0,50.0,3300.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.140841,0.06918055599999999,-2.0098999,-2.2651348,,,,,0.006547333958787367,0.8567639475850807,1.4398575890224536,-1.6111981029691056
67,1840.0,0.0,16482.0,67.0,50.0,3350.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9067175,0.10267115,-2.7572857999999996,-3.2060935,,,,,-0.20552390469120632,0.776821271015802,1.4211821965748856,-1.4222333927474478
68,1880.0,0.0,16728.0,68.0,50.0,3400.0,0.1,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0272487,0.009380014,-0.007191555600000001,-0.055437155,,,,,0.7891725696396535,0.5063032482426121,1.449761547596867,-0.9788923722353626
69,1920.0,0.0,16974.0,69.0,50.0,3450.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5265598,0.09035527,-2.4491615,-2.8126504,,,,,-0.11516369283582867,0.8325212817844507,1.4575561805782675,-1.3787967676905797
70,1960.0,0.0,17220.0,70.0,50.0,3500.0,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21649913,0.03801758,-0.11817989,-0.32614058,,,,,0.4000066844963625,0.6977420934486449,1.4065635255175188,-1.323045410365058
71,2000.0,0.0,17466.0,71.0,50.0,3550.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3921266,0.20205823,-1.1351982,-1.9196781000000003,,,,,-0.1688965670336856,0.7905783030992758,1.2906395706046867,-1.6122099017692415
72,2040.0,0.0,17712.0,72.0,50.0,3600.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5235312000000003,0.09928444,-2.257476,-2.6835568,,,,,-0.00102972826319788,0.8391970191461375,1.4076559010207632,-1.4146211082529956
73,2080.0,0.0,17958.0,73.0,50.0,3650.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.34648,0.13775805,-2.1575868,-2.6354802000000004,,,,,-0.14393210695384873,0.7353604743923474,1.3565621686821003,-1.266070785598396
74,2120.0,0.0,18204.0,74.0,50.0,3700.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.1032386,0.11380225,-2.8664396,-3.315672,,,,,0.08203310403462698,0.8835911519848701,1.3646522548285025,-1.4100530566925034
75,2160.0,0.0,18450.0,75.0,50.0,3750.0,0.1,-50.0,-50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2056272,0.11446767,-2.0629447,-2.4994438,,,,,-0.03477298217324791,0.7952799806911547,1.4071341170360276,-1.437691635252846
76,2200.0,0.0,18696.0,76.0,50.0,3800.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.00906,0.03248472,-3.934365,-4.0898156000000006,,,,,0.01287490619595198,0.893293395527175,1.3938217256614274,-1.46348743504753
77,2240.0,0.0,18942.0,77.0,50.0,3850.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8107853,0.07286255,-2.7289047,-3.017258,,,,,0.0234104561465805,0.8758084249822503,1.4043213555251408,-1.365248352577024
78,2280.0,0.0,19188.0,78.0,50.0,3900.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6955892999999995,0.14392416,-2.4824648,-2.951894,,,,,0.04502016225938507,0.9123372118395516,1.5303269191802948,-1.4477244008510135
