Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,Q Values/Mean,Q Values/Stdev,Q Values/Max,Q Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min
58,164.0,0.0,24.0,1.0,24.0,1821.0,0.4922285999999966,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.052268762,0.013977132,0.075465105,0.032645725,0.0008818942,0.0006119825,0.0017744825,0.00030754769
59,169.0,0.0,24.0,1.0,24.0,1845.0,0.4919933999999965,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.053460706,0.014913861,0.07760855,0.032338873,0.0014411553,0.00087073114,0.0026050457,0.00043103550000000003
60,174.0,0.0,24.0,1.0,24.0,1869.0,0.4917581999999964,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.05292507,0.015838912,0.072288096,0.027641263,0.0005914076,0.0002776015,0.00095857924,0.000315929
61,179.0,0.0,24.0,1.0,24.0,1893.0,0.4915229999999963,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.055660542,0.013788648999999998,0.074376605,0.03110108,0.0006867961500000001,0.00024634646,0.0009212064,0.00031424305
62,188.0,0.0,45.0,1.0,45.0,1938.0,0.4910819999999961,1.0,1.0,0.0,,,,,,,,,,,,,,,,0.2916759716244926,0.43454432584483293,1.0,0.0,,,,,,,,,0.07129335,0.022151675,0.12243965,0.03715122,0.09989827,0.26274976,0.79506814,5.4021144000000004e-05
63,193.0,0.0,24.0,1.0,24.0,1962.0,0.490846799999996,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.09847518,0.037811045,0.14286429999999997,0.035151016,0.00208528,0.0005420199,0.0026349402,0.0014787636
64,194.0,0.0,5.0,1.0,5.0,1967.0,0.49079779999999606,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.10028359,0.031610005,0.1256151,0.04617266,,,,
65,198.0,0.0,19.0,1.0,19.0,1986.0,0.4906115999999959,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.09297423,0.024541315,0.11692249,0.04989846,0.0005102306,0.00021224465,0.00075546117,0.00023772147999999996
66,203.0,0.0,24.0,1.0,24.0,2010.0,0.4903763999999958,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.077824675,0.0148967905,0.10029818,0.053269763,0.00034821974,0.00023219129,0.00074703974,0.00018302080000000002
67,220.0,0.0,85.0,1.0,85.0,2095.0,0.4895433999999954,2.0,2.0,0.0,,,,,,,,,,,,,,,,0.8195084153826949,0.5526164839774524,1.6757290490602832,0.0,,,,,,,,,0.08193297,0.02560998,0.18853237,0.050821282,0.10979559,0.29015037,0.98734355,2.8003995e-05
68,225.0,0.0,24.0,1.0,24.0,2119.0,0.4893081999999954,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.119169846,0.039040137,0.19000271,0.07560779,0.006325156,0.0021564749,0.009471609,0.0034895765
69,230.0,0.0,24.0,1.0,24.0,2143.0,0.4890729999999953,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.11823886,0.019063128000000002,0.15672484,0.09201646,0.0024157767,0.0010989244,0.00402778,0.0013962463
70,235.0,0.0,24.0,1.0,24.0,2167.0,0.4888377999999952,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.10493843,0.012762165,0.1286241,0.07634897,0.0007397831,0.00024871938999999996,0.0010987772999999999,0.00040162822999999996
71,256.0,0.0,103.0,1.0,103.0,2270.0,0.4878283999999947,2.0,2.0,0.0,,,,,,,,,,,,,,,,0.7599080194868341,0.5670780491551806,1.6622820409839836,0.0,,,,,,,,,0.08140612400000001,0.022063877000000003,0.12692371,0.031630073,0.029916337,0.09372142,0.39430505,6.39669e-06
72,267.0,0.0,54.0,1.0,54.0,2324.0,0.4872991999999945,1.0,1.0,0.0,,,,,,,,,,,,,,,,0.5092956741521227,0.4267174441531693,1.0,0.0,,,,,,,,,0.08819645,0.032574955,0.13277593,0.039653204,0.038397856,0.111066274,0.37159243,0.0006931292
