Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,Q Values/Mean,Q Values/Stdev,Q Values/Max,Q Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min
90,337.0,0.0,16.0,1.0,16.0,2696.0,0.483800599999993,0.08,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.07148766,0.03542496,0.11341421,0.004652853,0.00075043907,0.00045064633,0.0012010853999999999,0.00029979270000000003
91,340.0,0.0,16.0,1.0,16.0,2712.0,0.4836437999999929,0.08,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.06498583,0.028794927999999997,0.11086688,0.008793157,0.0013447388000000001,0.0007170697,0.0020618085,0.00062766904
92,343.0,0.0,12.0,1.0,12.0,2724.0,0.4835261999999929,0.05999999999999999,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.063075826,0.031004904,0.112955905,0.020328317,0.00325477,0.0013674588,0.004622229,0.0018873113000000001
93,348.0,0.0,24.0,1.0,24.0,2748.0,0.4832909999999928,0.12000000000000005,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.06816226,0.023445063999999998,0.10422168,-0.012070849,0.0009971678,0.00033562913,0.0013532053,0.00045600050000000003
94,356.0,0.0,41.0,1.0,41.0,2789.0,0.4828891999999926,0.2050000000000001,41.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.08906267,0.018830914,0.115175374,0.012239207,0.00023127557,0.00020264754,0.0006351415599999999,3.2929333e-05
95,370.0,0.0,70.0,1.0,70.0,2859.0,0.4822031999999923,0.3500000000000002,70.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.087425075,0.023050617000000002,0.122660585,0.00945582,0.000286313,0.00033740717000000004,0.0013337147,2.4013976e-05
96,383.0,0.0,66.0,1.0,66.0,2925.0,0.481556399999992,0.3300000000000002,66.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.10022747,0.021628015,0.12239674,-0.005684891700000001,0.00019798487,0.00017385903999999998,0.0007004786,3.6073747e-05
97,392.0,0.0,43.0,1.0,43.0,2968.0,0.4811349999999918,0.2150000000000001,43.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.09581168,0.022519373999999998,0.12076880000000001,0.027322251000000002,0.00037770593,0.00013541064,0.0005614506,0.00014919593999999998
98,396.0,0.0,20.0,1.0,20.0,2988.0,0.4809389999999917,0.10000000000000002,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.089352146,0.014828962,0.11185171,0.059790275999999996,0.00016934604,4.7029796e-05,0.00023362127999999996,0.00012240226999999998
99,401.0,0.0,22.0,1.0,22.0,3010.0,0.4807233999999917,0.11000000000000004,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.08158063,0.027543705,0.11810554,0.018395575,0.00046322695999999997,0.00022495697,0.0008410199699999998,0.00028770172999999997
100,406.0,0.0,24.0,1.0,24.0,3034.0,0.4804881999999915,0.12000000000000005,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.09037043,0.024173057,0.12812124,0.037510853,0.00024294227000000004,0.0001030278,0.00040494394,0.00012874120000000002
101,409.0,0.0,14.0,1.0,14.0,3048.0,0.4803509999999915,0.06999999999999999,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.08520971,0.035588462,0.12079453,0.013353496999999999,0.00019329466000000002,0.00011607443000000002,0.0003093691,7.722024e-05
102,414.0,0.0,25.0,1.0,25.0,3073.0,0.4801059999999914,0.12500000000000006,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.08801437,0.021731092,0.12099803,0.048179727,0.00017819414000000002,0.00014784685,0.00041569093999999996,2.7331971e-05
103,419.0,0.0,26.0,1.0,26.0,3099.0,0.4798511999999913,0.13000000000000006,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.080732234,0.02584492,0.1260206,0.029739797000000002,0.0005831103,0.00044051278,0.0013081835,0.00013292466999999998
104,429.0,0.0,48.0,1.0,48.0,3147.0,0.4793807999999911,0.2400000000000001,48.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.09662361400000001,0.012323899,0.12654851,0.06298152,0.00031604155,0.00026737072,0.0009321844999999999,0.00010620406999999999
105,439.0,0.0,51.0,1.0,51.0,3198.0,0.4788809999999909,0.2550000000000001,51.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.11271838,0.011672978,0.15832344,0.0862714,0.00050876476,0.00037301669999999996,0.0011160226,0.0001606373
106,446.0,0.0,36.0,1.0,36.0,3234.0,0.4785281999999907,0.18000000000000008,36.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.11531078,0.012664318,0.15175295,0.09540821599999999,0.000574846,0.00027206653999999996,0.0008598491,9.503501e-05
107,464.0,0.0,89.0,1.0,89.0,3323.0,0.4776559999999903,0.4450000000000003,89.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.12239983,0.008246679,0.13729419,0.07779868,0.00024754024,0.00017765285,0.0006266611,1.5269434e-05
108,476.0,0.0,59.0,1.0,59.0,3382.0,0.4770777999999901,0.2950000000000001,59.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.12519155,0.016450603,0.1961818,0.090280265,0.0005256455,0.00090252847,0.0033060961999999998,4.797316e-05
109,494.0,0.0,87.0,1.0,87.0,3469.0,0.4762251999999897,0.4350000000000003,87.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.12835468,0.011652688000000001,0.14247373,0.078807324,0.00027413607999999997,0.00025014102000000003,0.0008183062299999999,6.3798965e-05
110,506.0,0.0,58.0,1.0,58.0,3527.0,0.4756567999999894,0.2900000000000001,58.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.12316406,0.025756106,0.15087143,0.025306221,0.00033079245000000005,0.00044633852999999995,0.0016992668,4.548752e-05
111,539.0,0.0,165.0,1.0,165.0,3692.0,0.4740397999999888,0.8250000000000006,165.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.111702316,0.027243862,0.15263104,0.05790086,0.0002591089,0.00021735691000000003,0.0009420141000000001,4.488354e-05
112,544.0,0.0,25.0,1.0,25.0,3717.0,0.4737947999999886,0.12500000000000006,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.12965588,0.021736225,0.16437258,0.09267506,0.00012404459,8.84108e-05,0.00025747865,2.8197453999999996e-05
