Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
66,274.0,0.0,2122.0,2122.0,24.0,2122.0,0.9989169400000236,0.0,0.0,0.0,,,,9.015761951605477,17.586098689674962,48.33932495117188,1.0720680952072144,5e-05,0.0,5e-05,5e-05,10.471261,6.560903999999999,25.09134,6.877814,,,,
67,300.0,0.0,2226.0,2226.0,104.0,2226.0,0.9988139800000256,2.0,2.0,0.0,,,,12.168847111555245,30.86685419584721,145.97244262695312,0.9384975433349608,5e-05,6.776263578034403e-21,5e-05,5e-05,8.358891999999999,11.7286005,60.734703,3.097984,,,,
68,306.0,0.0,2250.0,2250.0,24.0,2250.0,0.9987902200000264,0.0,0.0,0.0,,,,0.9904035429159799,0.02207032496943006,1.0140827894210815,0.9554255604743958,5e-05,0.0,5e-05,5e-05,4.516752200000001,0.28670096,4.972326,4.139929,,,,
69,319.0,0.0,2304.0,2304.0,54.0,2304.0,0.9987367600000274,1.0,1.0,0.0,,,,4.656502256026634,12.92111346116932,49.41627883911133,0.8394550085067749,5.000000000000001e-05,6.776263578034403e-21,5e-05,5e-05,4.198674,4.8013096,20.717108,1.8908036,,,,
70,333.0,0.0,2359.0,2359.0,55.0,2359.0,0.9986823100000286,1.0,1.0,0.0,,,,7.8371404494558075,24.96792367954428,97.86024475097656,0.8671439886093141,5.000000000000001e-05,6.776263578034403e-21,5e-05,5e-05,4.6946406,9.622714,39.378536,1.6641936000000002,,,,
71,339.0,0.0,2383.0,2383.0,24.0,2383.0,0.9986585500000292,0.0,0.0,0.0,,,,33.117691884438194,22.7536095420904,49.43735122680664,0.9168939590454102,5e-05,0.0,5e-05,5e-05,15.803884,8.685096000000001,22.948296,3.4532104,,,,
72,345.0,0.0,2407.0,2407.0,24.0,2407.0,0.9986347900000296,0.0,0.0,0.0,,,,16.776225964228313,22.319511121979048,48.38777160644531,0.9371436834335328,5e-05,0.0,5e-05,5e-05,11.834331500000001,9.718827000000001,25.621323,4.115719,,,,
73,351.0,0.0,2431.0,2431.0,24.0,2431.0,0.9986110300000302,0.0,0.0,0.0,,,,16.971553285916645,22.474840596312276,48.77696990966797,1.0506002902984621,5e-05,0.0,5e-05,5e-05,12.370453999999999,7.3572809999999995,23.869583,6.273741,0.01442833861548934,0.004397684488974918,0.021444418524333743,0.009834402110427616
74,357.0,0.0,2455.0,2455.0,24.0,2455.0,0.9985872700000308,0.0,0.0,0.0,,,,8.91550350189209,17.31957790514519,47.6432113647461,1.1247670650482178,5e-05,0.0,5e-05,5e-05,12.124257,7.5197473,28.921335,8.209873,,,,
75,363.0,0.0,2479.0,2479.0,24.0,2479.0,0.9985635100000312,0.0,0.0,0.0,,,,1.1344790856043498,0.03034583864810292,1.1616743803024292,1.0755888223648071,5e-05,0.0,5e-05,5e-05,7.76129,0.40180376,8.243209,7.000321400000001,,,,
