Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min
47,904.0,0.0,1963.0,47.0,9.0,1963.0,0.454750000000005,60.0,60.0,0.0,,,,2317.818756103516,307.7121217601565,3005.076416015625,1934.556640625,0.0001,0.0,0.0001,0.0001,9070.479,7329.85,27001.077999999998,1658.014,74.32587497372748,14.317680738086779,97.0,53.849162881176284
48,979.0,0.0,2038.0,48.0,75.0,2038.0,0.4510000000000054,-330.0,-330.0,0.0,,,,2258.384440654033,418.90929484401215,3334.7158203125,1305.63916015625,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,8915.979,5472.975,25590.037,1769.2679999999998,-131.98762229183478,67.50627608697123,-4.0,-233.34271038497357
49,1054.0,0.0,2113.0,49.0,75.0,2113.0,0.4472500000000058,-345.0,-345.0,0.0,,,,2243.190663930532,397.74902047419897,3276.208251953125,1407.4835205078125,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,9938.953000000001,5782.5740000000005,24872.725,1712.9524,-136.83510463552494,70.69704596637641,-4.0,-244.8218904276325
50,1129.0,0.0,2188.0,50.0,75.0,2188.0,0.4435000000000062,-340.0,-340.0,0.0,,,,2096.728505727407,428.83008359970586,3920.86767578125,1249.035400390625,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,10798.464,6386.3804,32859.83,1429.3374,-135.60200145897736,71.0348670864947,-4.0,-240.70555445026957
51,1136.0,0.0,2195.0,51.0,7.0,2195.0,0.4431500000000063,68.0,68.0,0.0,,,,2105.003133138021,545.0308520525516,3252.09375,1513.617919921875,0.0001,0.0,0.0001,0.0001,8096.7485,5309.719,16555.355,1593.9109,79.52145914608528,11.857136384969074,97.0,63.064139252297004
52,1200.0,0.0,2259.0,52.0,64.0,2259.0,0.4399500000000066,-172.0,-172.0,0.0,,,,2076.306134905134,411.62804360849447,3618.78759765625,1295.5577392578125,0.00010000000000000003,4.0657581468206416e-20,0.0001,0.0001,6875.9980000000005,4384.9243,26074.375,1276.7764,-37.28882279406413,70.58997223364348,96.01,-149.63146809272615
53,1254.0,0.0,2313.0,53.0,54.0,2313.0,0.4372500000000069,-148.0,-148.0,0.0,,,,2062.9143964659493,404.9923512755002,2872.9365234375,1128.6954345703125,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,9784.452,4749.795,23301.467,2328.4897,-25.098979653045536,67.49519644231191,99.0,-135.80459695692457
54,1329.0,0.0,2388.0,54.0,75.0,2388.0,0.4335000000000073,-355.0,-355.0,0.0,,,,2032.5821714659,475.4288284225326,3192.84375,1093.6826171875,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,8299.046999999999,5501.347,23451.635,1708.4868,-139.05135560903489,70.56243022522945,-4.0,-253.24392251840783
55,1348.0,0.0,2407.0,55.0,19.0,2407.0,0.4325500000000074,12.0,12.0,0.0,,,,1932.242350260417,407.40015476970365,3074.233642578125,1500.82177734375,0.0001,0.0,0.0001,0.0001,9567.251,4618.74,20141.332,3189.5544,52.44680627873906,29.67111139339345,99.0,2.055663441454086
56,1353.0,0.0,2412.0,56.0,5.0,2412.0,0.43230000000000746,83.0,83.0,0.0,,,,2483.845642089844,79.251379171296,2573.724853515625,2381.353271484375,0.0001,0.0,0.0001,0.0001,10313.806999999999,3871.6436,14107.296,4990.3745,89.119301998,6.951828381099465,99.0,79.33740899
57,1428.0,0.0,2487.0,57.0,75.0,2487.0,0.4285500000000079,-350.0,-350.0,0.0,,,,2046.8871971336569,433.2413911714434,3145.328369140625,1241.1619873046875,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,8318.016,4681.134,22736.222999999998,1363.9845,-139.41023208669137,72.0475470283148,-4.0,-247.92154134846604
58,1435.0,0.0,2494.0,58.0,7.0,2494.0,0.4282000000000079,71.0,71.0,0.0,,,,2023.9227498372393,482.7472971356896,2575.93017578125,1355.9217529296875,0.0001,0.0,0.0001,0.0001,11316.526000000002,6137.6816,21020.406000000003,3036.7776,70.24187279442843,30.61416160211121,96.01,-1.0
59,1510.0,0.0,2569.0,59.0,75.0,2569.0,0.4244500000000083,-340.0,-340.0,0.0,,,,2164.7145847629863,396.8809203620778,3320.08203125,1509.9635009765625,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,9712.334,5969.1006,30496.428,1196.6857,-129.35191966415786,68.50938816894997,-4.0,-245.4404649008904
60,1583.0,0.0,2642.0,60.0,73.0,2642.0,0.4208000000000087,-234.0,-234.0,0.0,,,,2033.5743459065757,425.59716624421014,3318.57177734375,1075.3277587890623,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,9088.255,6180.422,29278.343999999997,1780.5922,-59.36023768877866,84.48006018118045,99.0,-192.59295604766814
61,1592.0,0.0,2651.0,61.0,9.0,2651.0,0.4203500000000088,57.0,57.0,0.0,,,,2053.125991821289,343.56935879518954,2455.6279296875,1377.9791259765625,0.0001,0.0,0.0001,0.0001,10337.521999999999,4881.9546,18788.223,4377.1763,75.67048616847991,16.083178250199186,99.0,50.696622469532116
62,1667.0,0.0,2726.0,62.0,75.0,2726.0,0.4166000000000092,-335.0,-335.0,0.0,,,,2174.27130291913,454.75056931188817,3421.951416015625,1202.7655029296875,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,9672.26,5690.7725,27005.385,1466.6191,-131.24610661098382,68.12268557477266,-4.0,-238.9549697391535
63,1742.0,0.0,2801.0,63.0,75.0,2801.0,0.4128500000000096,-345.0,-345.0,0.0,,,,1987.8187140387454,436.0526358838751,3128.17333984375,1124.53271484375,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,10713.618999999999,6373.6587,28116.477000000003,1484.0427,-135.21448898670928,68.5353338825021,-4.0,-246.04962955552315
64,1817.0,0.0,2876.0,64.0,75.0,2876.0,0.40910000000001,-335.0,-335.0,0.0,,,,1994.9834512246618,381.3618638059726,2752.541015625,967.9312744140624,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,8420.51,5059.065,25717.832000000002,1672.1285,-132.9964791103916,63.787680865350474,-4.0,-237.62892996687492
65,1824.0,0.0,2883.0,65.0,7.0,2883.0,0.4087500000000101,68.0,68.0,0.0,,,,1897.7358194986982,289.1970352574714,2283.934326171875,1467.1312255859375,0.0001,0.0,0.0001,0.0001,6556.342,2698.2393,11575.618,3923.11,79.52145914608528,11.857136384969074,97.0,63.064139252297004
