Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
61,10.0,0.0,21.0,1.0,21.0,1254.0,0.10000000000000002,0.988390723332922,19.767814466658432,0.0,,,,,,,,,,,,,,,,0.4831330622208772,0.2583542634466439,0.8958916972389268,0.04426742652997992,,,,,,,,,,,,,,,,,,,,
62,11.0,0.0,17.0,1.0,17.0,1271.0,0.10000000000000002,0.3637093165812404,7.274186331624807,0.0,,,,,,,,,,,,,,,,0.1051910846410803,0.10750928308440004,0.349320032517431,0.008563704702124086,,,,,,,,,,,,,,,,,,,,
63,12.0,0.0,21.0,1.0,21.0,1292.0,0.10000000000000002,0.89945091433693,17.989018286738595,0.0,,,,,,,,,,,,,,,,0.40289082486442507,0.2551555692339991,0.8230745869852529,0.021410967423908852,,,,,,,,,,,,,,,,,,,,
64,13.0,0.0,16.0,1.0,16.0,1308.0,0.10000000000000002,0.8067013834235517,16.134027668471035,0.0,,,,,,,,,,,,,,,,0.42405236988306416,0.20772747549683776,0.7463161659012743,0.059894995299483174,,,,,,,,,,,,,,,,,,,,
65,14.0,0.0,19.0,1.0,19.0,1327.0,0.10000000000000002,0.66874671718314,13.374934343662801,0.0,,,,,,,,,,,,,,,,0.28919187641989863,0.1850687093677287,0.6200002632963225,0.014752289509276638,,,,,,,,,,,,,,,,,,,,
66,15.0,0.0,25.0,1.0,25.0,1352.0,0.10000000000000002,0.6187214685525554,12.374429371051107,0.0,,,,,,,,,,,,,,,,0.1691290430592981,0.198006906878546,0.5822618260482131,-0.02647586487881708,,,,,,,,,,,,,,,,,,,,
67,16.0,0.0,26.0,1.0,26.0,1378.0,0.10000000000000002,1.4695205236404003,29.390410472808004,0.0,,,,,,,,,,,,,,,,0.7693526386698266,0.3592494852282072,1.2823119571578236,0.06651032131431565,,,,,,,,,,,,,,,,,,,,
68,17.0,0.0,21.0,1.0,21.0,1399.0,0.10000000000000002,0.7383589871327014,14.767179742654026,0.0,,,,,,,,,,,,,,,,0.3028509792295938,0.20252932706510374,0.6815760419136229,0.028478982811348464,,,,,,,,,,,,,,,,,,,,
69,18.0,0.0,11.0,1.0,11.0,1410.0,0.10000000000000002,0.4610902404960582,9.221804809921165,0.0,,,,,,,,,,,,,,,,0.23159961394953985,0.12697029483575736,0.4400144272339483,0.03694028060986459,,,,,,,,,,,,,,,,,,,,
70,19.0,0.0,16.0,1.0,16.0,1426.0,0.10000000000000002,0.8327132518888262,16.654265037776522,0.0,,,,,,,,,,,,,,,,0.4366078522945975,0.21497127980300207,0.7705616116380711,0.06240794858468636,,,,,,,,,,,,,,,,,,,,
71,20.0,0.0,12.0,1.0,12.0,1438.0,0.10000000000000002,0.4605744245005734,9.211488490011467,0.0,,,,,,,,,,,,,,,,0.2302674020594301,0.12140718749195585,0.4373154911650927,0.038497924148790136,,,,,,,,,,,,,,,,,,,,
72,21.0,0.0,16.0,1.0,16.0,1454.0,0.10000000000000002,0.7745586896893963,15.491173793787922,0.0,,,,,,,,,,,,,,,,0.3929165233661627,0.19359386714111287,0.7188808544957679,0.06380593389921876,,,,,,,,,,,,,,,,,,,,
73,22.0,0.0,10.0,1.0,10.0,1464.0,0.10000000000000002,0.3766644502683866,7.533289005367733,0.0,,,,,,,,,,,,,,,,0.1798936476928118,0.1125624375871568,0.3622980661607126,0.017986886345881328,,,,,,,,,,,,,,,,,,,,
74,23.0,0.0,14.0,1.0,14.0,1478.0,0.10000000000000002,0.5644651400152051,11.289302800304105,0.0,,,,,,,,,,,,,,,,0.2673146940313913,0.15376504600724342,0.5323647301523338,0.033308022108700576,,,,,,,,,,,,,,,,,,,,
75,24.0,0.0,15.0,1.0,15.0,1493.0,0.10000000000000002,0.3813114650505461,7.626229301010923,0.0,,,,,,,,,,,,,,,,0.135840122893945,0.11643358624361673,0.3645812592085397,0.010341071289906368,,,,,,,,,,,,,,,,,,,,
76,25.0,0.0,10.0,1.0,10.0,1503.0,0.10000000000000002,0.41497854898914105,8.299570979782821,0.0,,,,,,,,,,,,,,,,0.2099006653482144,0.11663258396718758,0.39796816409527214,0.029623847549873336,,,,,,,,,,,,,,,,,,,,
77,26.0,0.0,14.0,1.0,14.0,1517.0,0.10000000000000002,0.7068327906148695,14.136655812297388,0.0,,,,,,,,,,,,,,,,0.38955222980737225,0.17191482414692508,0.6588843216584214,0.07515751166255809,,,,,,,,,,,,,,,,,,,,
78,27.0,0.0,23.0,1.0,23.0,1540.0,0.10000000000000002,1.1545249801199544,23.090499602399092,0.0,,,,,,,,,,,,,,,,0.5867465765740792,0.29286175694467675,1.0298719873817337,0.05979212633209958,,,,,,,,,,,,,,,,,,,,
79,28.0,0.0,11.0,1.0,11.0,1551.0,0.10000000000000002,0.4770767213272962,9.541534426545924,0.0,,,,,,,,,,,,,,,,0.24795710095710136,0.12596725065210315,0.4543448891131464,0.045114021493147104,,,,,,,,,,,,,,,,,,,,
80,29.0,0.0,22.0,1.0,22.0,1573.0,0.10000000000000002,1.3088416469218085,26.17683293843617,0.0,,,,,,,,,,,,,,,,0.6880823866677424,0.32636307409896875,1.1691550725807118,0.06656034524661712,,,,,,,,,,,,,,,,,,,,
81,30.0,0.0,10.0,1.0,10.0,1583.0,0.10000000000000002,0.4222754634722132,8.445509269444264,0.0,,,,,,,,,,,,,,,,0.2157924465107252,0.11890873892914545,0.4047436553748896,0.032227735628811344,,,,,,,,,,,,,,,,,,,,
82,31.0,0.0,11.0,1.0,11.0,1594.0,0.10000000000000002,0.3875691381290555,7.751382762581108,0.0,,,,,,,,,,,,,,,,0.18503284051996505,0.10659536888803108,0.3709247734059185,0.030482195565230862,,,,,,,,,,,,,,,,,,,,
83,32.0,0.0,13.0,1.0,13.0,1607.0,0.10000000000000002,0.4624392220998364,9.248784441996724,0.0,,,,,,,,,,,,,,,,0.19061733809693032,0.14057571304620564,0.4420797658052882,0.00972256498488965,,,,,,,,,,,,,,,,,,,,
84,33.0,0.0,17.0,1.0,17.0,1624.0,0.10000000000000002,0.7296597317196003,14.593194634392006,0.0,,,,,,,,,,,,,,,,0.3391783140071764,0.2054259849451626,0.6787872912508891,0.03184169296279574,,,,,,,,,,,,,,,,,,,,
85,34.0,0.0,12.0,1.0,12.0,1636.0,0.10000000000000002,0.5179222798447645,10.358445596895287,0.0,,,,,,,,,,,,,,,,0.2593132908456115,0.1421046236927583,0.4917219039831223,0.041322114205952526,,,,,,,,,,,,,,,,,,,,
86,35.0,0.0,21.0,1.0,21.0,1657.0,0.10000000000000002,0.966829836963422,19.33659673926844,0.0,,,,,,,,,,,,,,,,0.464843151574077,0.24883763242357265,0.8779927021544099,0.045760208107505015,,,,,,,,,,,,,,,,,,,,
87,36.0,0.0,21.0,1.0,21.0,1678.0,0.10000000000000002,1.1497621863219936,22.99524372643987,0.0,,,,,,,,,,,,,,,,0.6064815075250104,0.2899249123850639,1.032728353274486,0.06277597212137119,,,,,,,,,,,,,,,,,,,,
88,37.0,0.0,21.0,1.0,21.0,1699.0,0.10000000000000002,0.6072829996859626,12.145659993719251,0.0,,,,,,,,,,,,,,,,0.22183093015587252,0.16901234843137536,0.5663621256093225,0.009883039303577349,,,,,,,,,,,,,,,,,,,,
89,38.0,0.0,28.0,1.0,28.0,1727.0,0.10000000000000002,0.990670384942757,19.81340769885514,0.0,,,,,,,,,,,,,,,,0.42570693489339545,0.23354383322852704,0.8802751951238447,0.031999169904411894,,,,,,,,,,,,,,,,,,,,
90,39.0,0.0,10.0,1.0,10.0,1737.0,0.10000000000000002,0.42402340090535867,8.480468018107173,0.0,,,,,,,,,,,,,,,,0.21484711559421776,0.1177640176426309,0.4066047367130676,0.03932966945314805,,,,,,,,,,,,,,,,,,,,
91,40.0,0.0,21.0,1.0,21.0,1758.0,0.10000000000000002,0.5427471587531537,10.854943175063072,0.0,,,,,,,,,,,,,,,,0.16005613785242545,0.16997371905297948,0.5142781513173175,-0.015070790565510991,,,,,,,,,,,,,,,,,,,,
92,41.0,0.0,12.0,1.0,12.0,1770.0,0.10000000000000002,0.5422515426579808,10.845030853159619,0.0,,,,,,,,,,,,,,,,0.2717314740786652,0.14560247538910226,0.5147916825944858,0.045496867878003694,,,,,,,,,,,,,,,,,,,,
